EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0355,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE PLANARITY,MEASURE SURFACE PLANARITY
valid_0356,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,ANNEAL DIELECTRIC,MEASURE CONTACT RESISTANCE
valid_0357,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,PARAMETRIC TEST,ELECTRICAL PARAMETRIC TEST
valid_0358,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT METAL 1,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST
valid_0359,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE SHEET RESISTANCE,MEASURE POLY THICKNESS,MEASURE JUNCTION DEPTH
valid_0360,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,IMPLANT LDD
valid_0361,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE SHEET RESISTANCE,MEASURE JUNCTION DEPTH
valid_0362,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,POLYSILICON ANNEAL
valid_0363,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,SPIN COAT PHOTORESIST
valid_0364,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE CONTACT RESISTANCE,ANNEAL DIELECTRIC
valid_0365,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 6,ALIGN MASK LEVEL 4,FILL VIA METAL,MEASURE DEVICE PARAMETER
valid_0366,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,MEASURE CONTACT RESISTANCE,DEPOSIT METAL 1
valid_0367,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT TOP METAL,BACKSIDE ETCH CLEAN
valid_0368,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,SWITCHING TEST,POLY PATTERN INSPECTION,EXPOSE LITHO LEVEL 2
valid_0369,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE SHEET RESISTANCE,MEASURE JUNCTION DEPTH,MEASURE POLY THICKNESS
valid_0370,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,BREAKDOWN VOLTAGE TEST
valid_0371,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0372,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,MEASURE CONTACT RESISTANCE,WET CLEAN RCA1
valid_0373,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,MEASURE JUNCTION DEPTH
valid_0374,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,BREAKDOWN VOLTAGE TEST
valid_0375,MEASURE DEVICE PARAMETER,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE SHEET RESISTANCE,DEPOSIT GATE OXIDE OR DIELECTRIC
valid_0376,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH,OPEN BOND PAD WINDOW
valid_0377,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0378,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT METAL 1,BREAKDOWN VOLTAGE TEST,DEPOSIT PASSIVATION
valid_0379,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE JUNCTION DEPTH,MEASURE SHEET RESISTANCE
valid_0380,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,POLY PATTERN INSPECTION,PAD WINDOW LITHO,EXPOSE LITHO LEVEL 2
valid_0381,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST
valid_0382,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE CONTACT RESISTANCE,ANNEAL DIELECTRIC
valid_0383,SOFT BAKE,CLEAN AFTER VIA ETCH,THERMAL OXIDATION,DEPOSIT TOP METAL,DEPOSIT GATE OXIDE OR DIELECTRIC
valid_0384,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,POLY PATTERN INSPECTION,EXPOSE LITHO LEVEL 2,IMPLANT N BUFFER
valid_0385,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,BACKSIDE ETCH CLEAN,IMPLANT DRAIN / CATHODE REGION
valid_0386,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,BREAKDOWN VOLTAGE TEST
valid_0387,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 6,ALIGN MASK LEVEL 4,MEASURE DEVICE PARAMETER,FILL VIA METAL
valid_0388,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST,METAL ETCH DRY
valid_0389,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,PARAMETRIC TEST,BACKSIDE ETCH CLEAN
valid_0390,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT METAL 1,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST
valid_0391,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE JUNCTION DEPTH,MEASURE SHEET RESISTANCE
valid_0392,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,MEASURE CONTACT RESISTANCE
valid_0393,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT TOP METAL,BACKSIDE ETCH CLEAN
valid_0394,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEVELOP PAD WINDOW,METAL ETCH DRY
valid_0395,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,MEASURE POLY THICKNESS
valid_0396,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,SWITCHING TEST,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0397,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0398,CURE PASSIVATION,METAL ETCH DRY,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST
valid_0399,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT TOP METAL
valid_0400,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,WET CLEAN RCA1,RCA CLEAN 1
valid_0401,DEPOSIT TUNGSTEN SEED,DEPOSIT METAL SEED,FILL VIA TUNGSTEN,DEPOSIT BARRIER METAL,DEPOSIT INTERLEVEL DIELECTRIC
valid_0402,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEPOSIT BACKSIDE PROTECTION,DEPOSIT TUNGSTEN SEED,CLEAN PAD OPENING
valid_0403,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,MEASURE LINE WIDTH
valid_0404,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,FINAL CLEAN,DEPOSIT BACKSIDE PROTECTION,CLEAN PAD OPENING
valid_0405,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH
valid_0406,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,SWITCHING TEST,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0407,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,HARD BAKE
valid_0408,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,SWITCHING TEST,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0409,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,CLEAN AFTER METAL ETCH,FINAL CLEAN
valid_0410,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,FINAL GEOMETRY CHECK,DEPOSIT BACKSIDE PROTECTION,STRIP PHOTORESIST
valid_0411,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER POLY ETCH
valid_0412,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,FINAL GEOMETRY CHECK,IMPLANT N-TYPE,METAL ETCH DRY
valid_0413,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,DEPOSIT INTERLEVEL DIELECTRIC
valid_0414,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,SWITCHING TEST
valid_0415,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC
valid_0416,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,PARAMETRIC TEST
valid_0417,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC
valid_0418,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEPOSIT BACKSIDE PROTECTION,IMPLANT N-TYPE,FINAL CLEAN
valid_0419,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,OXIDE ETCH DRY,MEASURE FILM THICKNESS
valid_0420,CURE PASSIVATION,DEVELOP PHOTORESIST,IMPLANT LDD,OXIDE STRIP,DEVELOP PAD WINDOW
valid_0421,DEPOSIT TUNGSTEN SEED,DEPOSIT METAL SEED,FILL VIA TUNGSTEN,DEPOSIT BARRIER METAL,WAFER CLEAN PRE-GRIND
valid_0422,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,DEPOSIT BACKSIDE PROTECTION,IMPLANT N-TYPE
valid_0423,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH
valid_0424,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,FINAL GEOMETRY CHECK,CLEAN AFTER METAL ETCH,MEASURE VIA RESISTANCE
valid_0425,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC
valid_0426,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,SWITCHING TEST,EXPOSE LITHO LEVEL 4
valid_0427,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH
valid_0428,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,FINAL GEOMETRY CHECK,IMPLANT N-TYPE,PASSIVATION ETCH
valid_0429,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC
valid_0430,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,CLEAN AFTER METAL ETCH,EXPOSE LITHO LEVEL 4,BACKSIDE ETCH CLEAN
valid_0431,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,CLEAN AFTER VIA ETCH,DIELECTRIC ETCH VIA
valid_0432,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,CLEAN AFTER METAL ETCH,SWITCHING TEST
valid_0433,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,OXIDE ETCH DRY
valid_0434,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,DEPOSIT BARRIER METAL
valid_0435,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT TUNGSTEN SEED,DEPOSIT PASSIVATION LAYER
valid_0436,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,SWITCHING TEST,CLEAN AFTER METAL ETCH
valid_0437,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER POLY ETCH
valid_0438,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,SWITCHING TEST,CLEAN AFTER METAL ETCH
valid_0439,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER METAL ETCH
valid_0440,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,EXPOSE LITHO LEVEL 4,CLEAN AFTER METAL ETCH,SWITCHING TEST
valid_0441,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,MEASURE FILM THICKNESS,INITIAL WAFER INSPECTION
valid_0442,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,FINAL GEOMETRY CHECK,DEPOSIT BACKSIDE PROTECTION,IMPLANT N-TYPE
valid_0443,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT TUNGSTEN SEED,DEPOSIT PASSIVATION LAYER
valid_0444,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,FINAL GEOMETRY CHECK,IMPLANT N-TYPE,STRIP PHOTORESIST
valid_0445,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC
valid_0446,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,FINAL GEOMETRY CHECK,BACKSIDE THINNING CHECK,IMPLANT N-TYPE
valid_0447,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER POLY ETCH
valid_0448,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,CURE PASSIVATION
valid_0449,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER POLY ETCH
valid_0450,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,MEASURE OXIDE QUALITY,MEASURE CD LEVEL 1
valid_0451,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH
valid_0452,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,METAL PATTERN INSPECTION,CURE PASSIVATION
valid_0453,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH
valid_0454,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,SWITCHING TEST,CLEAN AFTER METAL ETCH
valid_0455,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT TUNGSTEN SEED,PACKAGE PREPARATION
valid_0456,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,CURE PASSIVATION
valid_0457,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0458,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,SWITCHING TEST,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0459,DIELECTRIC ETCH VIA,HARD BAKE,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,POLYSILICON ETCH DRY
valid_0460,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,SWITCHING TEST
valid_0461,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,CLEAN AFTER VIA ETCH,DIELECTRIC ETCH VIA
valid_0462,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,CLEAN AFTER METAL ETCH,MEASURE CD LEVEL 1
valid_0463,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,MEASURE LINE WIDTH
valid_0464,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,EXPOSE LITHO LEVEL 4,CLEAN AFTER METAL ETCH,METAL ETCH DRY
valid_0465,DIELECTRIC ETCH VIA,HARD BAKE,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,POLYSILICON ETCH DRY
valid_0466,CURE PASSIVATION,HARD BAKE,DEPOSIT PASSIVATION LAYER,METAL ETCH DRY,DEPOSIT METAL 1
valid_0467,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER POLY ETCH
valid_0468,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,FINAL GEOMETRY CHECK,CLEAN AFTER METAL ETCH,BACKSIDE THINNING CHECK
valid_0469,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,DIELECTRIC ETCH VIA
valid_0470,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,FINAL GEOMETRY CHECK,METAL ETCH DRY,CLEAN AFTER METAL ETCH
valid_0471,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT TUNGSTEN SEED,PACKAGE PREPARATION
valid_0472,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,FINAL CLEAN,DEPOSIT BACKSIDE PROTECTION,IMPLANT N-TYPE
valid_0473,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0474,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,SWITCHING TEST,PAD WINDOW LITHO,POLY PATTERN INSPECTION
valid_0475,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,DIELECTRIC ETCH VIA,HARD BAKE,FIELD OXIDE ETCH
valid_0476,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,SWITCHING TEST,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0477,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC
valid_0478,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,FINAL GEOMETRY CHECK,BACKSIDE THINNING CHECK,IMPLANT N-TYPE
valid_0479,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC
valid_0480,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,SWITCHING TEST,BACKSIDE ETCH CLEAN,CLEAN AFTER METAL ETCH
valid_0481,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH
valid_0482,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,FINAL GEOMETRY CHECK,CLEAN AFTER METAL ETCH,STRIP PHOTORESIST
valid_0483,DEPOSIT TUNGSTEN SEED,DEPOSIT METAL SEED,FILL VIA TUNGSTEN,VIA OPENING INSPECTION,MEASURE CD LEVEL 1
valid_0484,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,DEPOSIT BARRIER METAL
valid_0485,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,PACKAGE PREPARATION,DEPOSIT TUNGSTEN SEED
valid_0486,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,FINAL CLEAN,METAL PATTERN INSPECTION
valid_0487,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,DIELECTRIC ETCH VIA
valid_0488,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN PAD WINDOW LITHO,SWITCHING TEST,PAD WINDOW LITHO
valid_0489,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH
valid_0490,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,FINAL GEOMETRY CHECK,IMPLANT N-TYPE,BACKSIDE THINNING CHECK
valid_0491,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,HARD BAKE
valid_0492,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,SWITCHING TEST,BACKSIDE ETCH CLEAN,CLEAN AFTER METAL ETCH
valid_0493,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH
valid_0494,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,SWITCHING TEST,CLEAN AFTER METAL ETCH
valid_0495,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC
valid_0496,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,SWITCHING TEST,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0497,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE LINE WIDTH,DIELECTRIC ETCH VIA
valid_0498,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,PARAMETRIC TEST
valid_0499,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,DIELECTRIC ETCH VIA
valid_0500,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,SWITCHING TEST,IMPLANT N-TYPE
valid_0501,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,DIELECTRIC ETCH VIA
valid_0502,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,MEASURE OXIDE QUALITY,MEASURE CD LEVEL 1
valid_0503,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT TUNGSTEN SEED,PACKAGE PREPARATION
valid_0504,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEPOSIT BACKSIDE PROTECTION,CLEAN PAD OPENING,BACKSIDE THINNING CHECK
valid_0505,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0506,CURE PASSIVATION,DEPOSIT METAL 1,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,METAL ETCH DRY
valid_0507,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,HARD BAKE
valid_0508,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,CURE PASSIVATION
valid_0509,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC
valid_0510,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,SWITCHING TEST
valid_0511,HARD BAKE,DIELECTRIC ETCH VIA,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,POLYSILICON ETCH DRY
valid_0512,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE LINE WIDTH,ALIGN MASK LEVEL 6,METAL ETCH DRY
valid_0513,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,MEASURE LINE WIDTH
valid_0514,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,EXPOSE LITHO LEVEL 4,CLEAN AFTER METAL ETCH,SWITCHING TEST
valid_0515,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,CLEAN AFTER VIA ETCH,DIELECTRIC ETCH VIA
valid_0516,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,SWITCHING TEST,MEASURE PASSIVATION QUALITY
valid_0517,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,CLEAN AFTER VIA ETCH,DIELECTRIC ETCH VIA
valid_0518,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,PARAMETRIC TEST
valid_0519,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH
valid_0520,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,BACKSIDE ETCH CLEAN,SWITCHING TEST,CLEAN AFTER METAL ETCH
valid_0521,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DEPOSIT TUNGSTEN SEED,MEASURE SURFACE UNIFORMITY
valid_0522,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,METAL PATTERN INSPECTION,CURE PASSIVATION
valid_0523,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,HARD BAKE
valid_0524,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,STRIP PHOTORESIST,IMPLANT N-TYPE,FINAL GEOMETRY CHECK
valid_0525,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH
